doi,first_author,middle_authors,last_author,corresponding_author,year,author_status,year_status
10.1214/13-AOS1163,Yingying Fan,Jiashun Jin,Zhigang Yao,Yingying Fan,2013.0,success,success
10.1214/13-AOS1154,Ningning Xia,Yingli Qin,Zhidong Bai,Yingli Qin,2013.0,success,success
10.1214/13-AOS1164,Zuofeng Shang,,Guang Cheng,,2013.0,success,success
10.1214/13-AOS1165,Junlong Zhao,Chenlei Leng; Lexin Li,Hansheng Wang,,2013.0,success,success
10.1214/13-AOS1166,Marianna Pensky,,,Marianna Pensky,2013.0,success,success
10.1214/13-AOS1117,Holger Dette,Viatcheslav B. Melas,Petr Shpilev,,2013.0,success,success
10.1214/13-AOS1123,Valen E. Johnson,,,Valen E. Johnson,2013.0,success,success
10.1214/13-AO1125,,,,,,not_found,not_found
10.1214/13-AOS1127,Quentin Berthet,,Philippe Rigollet,,2013.0,success,success
10.1214/13-AOS1128,Minjing Tao,Yazhen Wang,Harrison H. Zhou,,2013.0,success,success
10.1214/13-AOS1135,Jia Li,Viktor Todorov,George Tauchen,Jia Li,2013.0,success,success
10.1214/13-AOS1137,Peter Hall,,Joël L. Horowitz,,2013.0,success,success
10.1214/13-AOS1124,,,,,,not_found,not_found
10.1214/13-AOS1130,Jan Draisma,Sonja Kuhnt,Piotr Zwiernik,Jan Draisma,2013.0,success,success
10.1214/13-AOS1132,Christian Francq,,Jean-Michel Zakoian,Christian Francq,2013.0,success,success
10.1214/13-AOS1133,Ismael Castillo,,Richard Nickl,Ismael Castillo,2013.0,success,success
10.1214/13-AOS1134,Tiefeng Jiang,,Fan Yang,,2013.0,success,success
10.1214/13-AOS1136,Rongmao Zhang,Liang Peng,Ruodu Wang,Rongmao Zhang,2013.0,success,success
10.1214/13-AOS1138,Arash A. Amini,Aiyou Chen; Peter J. Bickel,Elizaveta Levina,Arash A. Amini,2013.0,success,success
10.1214/13-AOS1139,Jinyuan Chang,Cheng Yong Tang,Yichao Wu,Jinyuan Chang,2013.0,success,success
10.1214/13-AOS1141,Li Zhang,,,Li Zhang,2013.0,success,success
10.1214/13-AOS1143,Min Tsao,,Fan Wu,,2013.0,success,success
10.1214/13-AOS1148,Wei Zheng,,,Wei Zheng,2013.0,success,success
10.1214/13-AOS1149,Jinchi Lv,,,Jinchi Lv,2013.0,success,success
10.1214/13-AOS1095,Taiji Suzuki,,Masashi Sugiyama,,2013.0,success,success
10.1214/13-AOS1112,Minh Tang,Daniel L. Sussman,Carey E. Priebe,Minh Tang,2013.0,success,success
10.1214/13-AOS1114,Magalie Fromont,Béatrice Laurent,Patricia Reynaud-Bouret,,2013.0,success,success
10.1214/13-AOS1115,Jean Jacod,,Mathieu Rosenbaum,Jean Jacod,2013.0,success,success
10.1214/13-AOS1116,Axel Bücher,,Mathias Vetter,,2013.0,success,success
10.1214/13-AOS1119,Olivier Cappé,Aurélien Garivier; Odalric-Ambrym Maillard; Rémi Munos,Gilles Stoltz,Olivier Cappé,2013.0,success,success
10.1214/13-AOS1126,Sam Efromovich,,,Sam Efromovich,2013.0,success,success
10.1214/13-AOS1131,Jeffrey W. Miller,,Matthew Tom Harrison,,2013.0,success,success
10.1214/13-AOS1121,H. Masuda,,,H. Masuda,2013.0,success,success
10.1214/13-AOS1122,Susanne M. Schennach,,,Susanne M. Schennach,2013.0,success,success
10.1214/13-AOS1129,Jiahua Chen,,Yukun Liu,,2013.0,success,success
10.1214/12-AOS1014,Aharon Birnbaum,Iain M. Johnstone; Boaz Nadler,Debashis Paul,,2013.0,success,success
10.1214/16-AOS1441,Simeng Qu,Jane-Ling Wang,Xiao Wang,Xiao Wang,2016.0,success,success
10.1214/16-AOS1445,Marianna Pensky,,,Marianna Pensky,2016.0,success,success
10.1214/16-AOS1447,Antony Joseph,,Bin Yu,,2016.0,success,success
10.1214/16-AOS1451,Kayvan Sadeghi,,,Kayvan Sadeghi,2016.0,success,success
10.1214/15-AOS1394,,,,,,not_found,not_found
10.1214/15-AOS1408,,,,,,"error_HTTPSConnectionPool(host='api.openalex.org', port=443): Read timed out. (read timeout=10)","error_HTTPSConnectionPool(host='api.openalex.org', port=443): Read timed out. (read timeout=10)"
10.1214/15-AOS1399,,,,,,not_found,not_found
10.1214/15-AOS1406,Yu‐Ru Su,,Jane-Ling Wang,,2016.0,success,success
10.1214/15-AOS1371,Jason D. Lee,Dennis L. Sun; Yuekai Sun,Jonathan E. Taylor,Jason D. Lee,2016.0,success,success
10.1214/15-AOS1393,Clifford Lam,,,Clifford Lam,2016.0,success,success
10.1214/15-AOS1395,Sébastien Gadat,Thierry Klein,Clément Marteau,,2016.0,success,success
10.1214/15-AOS1396,,,,,,not_found,not_found
10.1214/15-AOS1397,Weijie Su,,Emmanuel J. Candès,,2016.0,success,success
10.1214/15-AOS1398,William Weimin Yoo,,Subhashis Ghosal,William Weimin Yoo,2016.0,success,success
10.1214/15-AOS1400,R. A. Bailey,,Chris Brien,,2016.0,success,success
10.1214/15-AOS1401,,,,,,not_found,not_found
10.1214/15-AOS1403,Yuan Ke,Jialiang Li,Wenyang Zhang,,2016.0,success,success
10.1214/15-AOS1404,Shujie Ma,,Xuming He,,2016.0,success,success
10.1214/15-AOS1405,Wanli Qiao,,Wolfgang Polonik,,2016.0,success,success
10.1214/15-AOS1415,Holger Drees,,Holger Rootzén,,2016.0,success,success
10.1214/15-AOS1374,Jinyuan Chang,Cheng Yong Tang,Yichao Wu,Jinyuan Chang,2016.0,success,success
10.1214/15-AOS1377,Xianchao Xie,S. C. Kou,Lawrence Brown,,2016.0,success,success
10.1214/15-AOS1380,,,,,,"error_HTTPSConnectionPool(host='api.openalex.org', port=443): Read timed out. (read timeout=10)","error_HTTPSConnectionPool(host='api.openalex.org', port=443): Read timed out. (read timeout=10)"
10.1214/13-AOS1171,Tommaso Cai,Weidong Liu,Harrison H. Zhou,,2016.0,success,success
10.1214/15-AOS1373,Yen‐Chi Chen,Christopher R. Genovese; Ryan J. Tibshirani,Larry Wasserman,,2016.0,success,success
10.1214/15-AOS1376,,,,,,not_found,not_found
10.1214/15-AOS1378,Monika Bhattacharjee,,Arup Bose,,2016.0,success,success
10.1214/15-AOS1381,Vianney Perchet,Philippe Rigollet; Sylvain Chassang,Erik Snowberg,,2016.0,success,success
10.1214/15-AOS1382,Tommaso Cai,Donggyu Kim; Yazhen Wang; Ming Yuan,Harrison H. Zhou,,2016.0,success,success
10.1214/15-AOS1384,Alexander R. Luedtke,,Mark J. van der Laan,,2016.0,success,success
10.1214/15-AOS1386,Jonathan Taylor,Joshua R. Loftus,Ryan J. Tibshirani,,2016.0,success,success
10.1214/15-AOS1387,Victor M. Panaretos,,Yoav Zemel,,2016.0,success,success
10.1214/15-AOS1388,Dimitris Bertsimas,Angela King,Rahul Mazumder,,2016.0,success,success
10.1214/15-AOS1389,Sumit Mukherjee,,,Sumit Mukherjee,2016.0,success,success
10.1214/15-AOS1390,Yun Yang,,David B. Dunson,David B. Dunson,2016.0,success,success
10.1214/15-AOS1361,Holger Dette,Andrey Pepelyshev,Anatoly Zhigljavsky,,2015.0,success,success
10.1214/15-AOS1362,Rui Song,Moulinath Banerjee,Michael R. Kosorok,,2015.0,success,success
10.1214/15-AOS1364,Jianqing Fan,Yuan Liao,Weichen Wang,Jianqing Fan,2015.0,success,success
10.1214/15-AOS1323,Aloïs Kneip,Dominik Poß,Pascal Sarda,,2015.0,success,success
10.1214/15-AOS1343,Ting Yan,Chenlei Leng,Ji Zhu,,2015.0,success,success
10.1214/15-AOS1349,Adam D. Bull,,,Adam D. Bull,2015.0,success,success
10.1214/15-AOS1358,Vishesh Karwa,,Aleksandra Slavkovic,Vishesh Karwa,2015.0,success,success
10.1214/15-AOS1363,Alexander Petersen,,Hans‐Georg Müller,,2015.0,success,success
10.1214/15-AOS1366,Tim Patschkowski,,Angelika Rohde,,2015.0,success,success
10.1214/15-AOS1367,Ben Sherwood,,Lan Wang,Ben Sherwood,2015.0,success,success
10.1214/15-AOS1368,Chao Gao,,Harrison H. Zhou,Chao Gao,2015.0,success,success
10.1214/14-AOS1275,Noureddine El Karoui,,Hau‐Tieng Wu,,2016.0,success,success
10.1214/15-AOS1360,Can M. Le,Elizaveta Levina,Roman Vershynin,,2016.0,success,success
10.1214/15-AOS1370,Jing Lei,,,Jing Lei,2016.0,success,success
10.1214/15-AOS1372,Chaohua Dong,Jiti Gao,Dag Tjøstheim,,2016.0,success,success
10.1214/15-AOS1357,Jianqing Fan,Philippe Rigollet,Weichen Wang,Jianqing Fan,2015.0,success,success
10.1214/15-AOS1314,Rui Tuo,,Changbao Wu,Rui Tuo,2015.0,success,success
10.1214/15-AOS1336,Ismael Castillo,,Judith Rousseau,Ismael Castillo,2015.0,success,success
10.1214/15-AOS1338,Sharmodeep Bhattacharyya,,Peter J. Bickel,Sharmodeep Bhattacharyya,2015.0,success,success
10.1214/15-AOS1345,Christophe Giraud,François Roueff,Andres Sanchez-Perez,,2015.0,success,success
10.1214/15-AOS1347,Moritz Jirak,,,Moritz Jirak,2015.0,success,success
10.1214/15-AOS1348,Guillaume Chauvet,,,Guillaume Chauvet,2015.0,success,success
