doi,first_author,middle_authors,last_author,corresponding_author,year,author_status,year_status
10.1214/10-AOS852,Emilio Seijo,,Bodhisattva Sen,Emilio Seijo,2011.0,success,success
10.1214/10-AOS871,Xia Cui,Wolfgang Karl Härdle,Lixing Zhu,,2011.0,success,success
10.1214/11-AOS873,Yacine Ait-Sahalia,,Jean Jacod,Yacine Ait-Sahalia,2011.0,success,success
10.1214/11-AOS882,Dong Chen,Peter Hall,Hans-Georg Muller,Dong Chen,2011.0,success,success
10.1214/11-AOS884,Tso-Jung Yen,,,Tso-Jung Yen,2011.0,success,success
10.1214/11-AOS886,Edward L. Ionides,Anindya Bhadra; Yves F. Atchadé,Aaron A. King,,2011.0,success,success
10.1214/11-AOS891,Juan‐Juan Cai,J.H.J. Einmahl,Laurens de Haan,,2011.0,success,success
10.1214/10-AOS869,Małgorzata Bogdan,Arijit Chakrabarti; Florian Frommlet,Jayanta K. Ghosh,Małgorzata Bogdan,2011.0,success,success
10.1214/10-AOS831,S. Chen,J. Dick,A.B. Owen,S. Chen,2011.0,success,success
10.1214/10-AOS853,Lutz Dümbgen,Richard Samworth,Dominic Schuhmacher,Lutz Dümbgen,2011.0,success,success
10.1214/10-AOS854,Philippe Rigollet,,Alexandre B. Tsybakov,,2011.0,success,success
10.1214/10-AOS855,Markus Reiß,,,Markus Reiß,2011.0,success,success
10.1214/10-AOS856,Fabienne Comte,,Valentine Genon-Catalot,Fabienne Comte,2011.0,success,success
10.1214/110-AOS857,,,,,,not_found,not_found
10.1214/10-AOS859,Mathias Drton,Rina Foygel,Seth Sullivant,,2011.0,success,success
10.1214/10-AOS860,,,,,2011.0,success,success
10.1214/10-AOS815,Runchu Zhang,Frederick K. H. Phoa; Rahul Mukerjee,Hongquan Xu,Runchu Zhang,2011.0,success,success
10.1214/10-AOS820,Runlong Tang,Moulinath Banerjee,George Michailidis,Runlong Tang,2011.0,success,success
10.1214/10-AOS849,Tommaso Cai,,Mark G. Low,,2011.0,success,success
10.1214/10-AOS858,Gérard Kerkyacharian,Thanh Mai Pham Ngoc,Dominique Picard,Gérard Kerkyacharian,2011.0,success,success
10.1214/10-AOS850,Sahand Negahban,,Martin J. Wainwright,,2011.0,success,success
10.1214/10-AOS862,Stephan Huckemann,,,Stephan Huckemann,2011.0,success,success
10.1214/10-AOS863,Alexandre Belloni,,Robert L. Winkler,Alexandre Belloni,2011.0,success,success
10.1214/10-AOS864,Min Qian,,Susan A. Murphy,Min Qian,2011.0,success,success
10.1214/10-AOS865,Fuqing Gao,,Xingqiu Zhao,Fuqing Gao,2011.0,success,success
10.1214/10-AOS870,Jun Shao,Yazhen Wang; Xinwei Deng,Sijian Wang,Jun Shao,2011.0,success,success
10.1214/11-AOS875,Holger Dette,,Viatcheslav B. Melas,Holger Dette,2011.0,success,success
10.1214/11-AOS876,Florentina Bunea,Yiyuan She,Marten H. Wegkamp,Florentina Bunea,2011.0,success,success
10.1214/11-AOS877,Fasheng Sun,Dennis K. J. Lin,Min‐Qian Liu,Min‐Qian Liu,2011.0,success,success
10.1214/10-AOS827,Alexandre Belloni,,Victor Chernozhukov,,2010.0,success,success
10.1214/10-AOS830,Mingyuan Zhang,Marshall M. Joffe,Dylan S. Small,,2010,success,success
10.1214/10-AOS832,Xinyu Zhang,,Hua Liang,Xinyu Zhang,2010,success,success
10.1214/10-AOS837,Raúl Jiménez,,J. E. Yukich,,2010,success,success
10.1214/10-AOS838,Randal Douc,,Christian P. Robert,Randal Douc,2010,success,success
10.1214/10-AOS839,Ery Arias-Castro,Emmanuel J. Candès,Arnaud Durand,Emmanuel J. Candès,2010,success,success
10.1214/10-AOS842,Bo Kai,Runze Li,Hui Zou,,2010,success,success
10.1214/10-AOS843,Steve Hanneke,,,Steve Hanneke,2010,success,success
10.1214/10-AOS846,Lan Wang,,,Lan Wang,2010,success,success
10.1214/10-AOS804,Dragi Anevski,,Philippe Soulier,,2011,success,success
10.1214/10-AOS822,Zhiyi Chi,,,Zhiyi Chi,2011,success,success
10.1214/10-AOS844,Edsel A. Peña,Joshua D. Habiger,Wensong Wu,Edsel A. Peña,2011,success,success
10.1214/10-AOS847,Etienne Roquain,,Fanny Villers,Etienne Roquain,2011,success,success
10.1214/10-AOS848,Chunming Zhang,Jianqing Fan,Tao Yu,,2011,success,success
10.1214/10-AOS851,Li Xin Zhang,Feifang Hu; Siu-Hung Cheung,Wai Sum Chan,Li Xin Zhang,2011,success,success
10.1214/09-AOS776,Guillaume Obozinski,Martin J. Wainwright,Michael I. Jordan,,2010,success,success
10.1214/10-AOS823,Anil Aswani,Peter Bickel,Claire Tomlin,Anil Aswani,2010,success,success
10.1214/10-AOS836,Karim Lounici,,Richard Nickl,Karim Lounici,2010,success,success
10.1214/10-AOS845,Ci‐Ren Jiang,,Jane-Ling Wang,,2010,success,success
10.1214/10-AOS834,Randal Douc,Eric Moulines; Jimmy Olsson,Ramon van Handel,Randal Douc,2011,success,success
10.1214/10-AOS841,Kshitij Khare,,Bala Rajaratnam,Kshitij Khare,2011,success,success
10.1214/09-AOS747,Anthony Brockwell,Pierre Del Moral,Arnaud Doucet,,2010,success,success
10.1214/10-AOS824,Song Xi Chen,,Ping‐Shou Zhong,,2010,success,success
10.1214/10-AOS825,Vladimir Koltchinskii,,Ming Yuan,,2010,success,success
10.1214/10-AOS826,Xin Chen,Changliang Zou,R. Dennis Cook,,2010,success,success
10.1214/10-AOS840,Arseni Seregin,,Jon A. Wellner,Arseni Seregin,2010,success,success
10.1214/10-AOS835,Hua Liang,Xiang Liu; Runze Li,Chih‐Ling Tsai,,2010,success,success
10.1214/10-AOS818,Ngai Hang Chan,,Shiqing Ling,,2010,success,success
10.1214/10-AOS866,Chris Lloyd,,Paul Kabaila,Chris Lloyd,2010,success,success
10.1214/10-AOS805,Michael A. Newton,,Lisa Chung,,2010,success,success
10.1214/10-AOS810,Marc Hallin,Davy Paindaveine,Thomas Verdebout,,2010,success,success
10.1214/10-AOS811,R. de Jonge,,J. H. van Zanten,R. de Jonge,2010,success,success
10.1214/10-AOS813,Yehua Li,,Tailen Hsing,,2010,success,success
10.1214/10-AOS819,Neil Bathia,Qiwei Yao,Flavio Ziegelmann,Neil Bathia,2010,success,success
10.1214/09-AOS772,Ming Yuan,,Tommaso Cai,,2010,success,success
10.1214/09-AOS775,Aleksey S. Polunchenko,,Alexander G. Tartakovsky,,2010,success,success
10.1214/09-AOS786,Hans-Georg Muller,,Fang Yao,Hans-Georg Muller,2010,success,success
10.1214/10-AOS795,Noureddine El Karoui,,,Noureddine El Karoui,2010,success,success
10.1214/10-AOS798,Jianqing Fan,,Rui Song,,2010,success,success
10.1214/10-AOS821,Seunggeun Lee,Fei Zou,Fred A. Wright,,2010,success,success
10.1214/10-AOS829,Jelle J. Goeman,,Aldo Solari,,2010,success,success
10.1214/10-AOS773,Nikolai Leonenko,,Luc Pronzato,,2010,success,success
10.1214/10-AOS802,Jianqing Fan,Yang Feng,Yue Niu,,2010,success,success
10.1214/10-AOS792,James G. Scott,,James O. Berger,,2010,success,success
10.1214/10-AOS793,Mathieu Rosenbaum,,Alexandre B. Tsybakov,,2010,success,success
10.1214/10-AOS794,Peter Hall,,H. R. Miller,,2010,success,success
10.1214/10-AOS797,Alessandro Rinaldo,,Larry Wasserman,Alessandro Rinaldo,2010,success,success
10.1214/10-AOS803,Yuri Golubev,,,Yuri Golubev,2010,success,success
10.1214/10-AOS807,Faming Liang,,,Faming Liang,2010,success,success
10.1214/10-AOS808,Young Lee,Enno Mammen,Byeong U. Park,,2010,success,success
10.1214/10-AOS809,Guang Cheng,,Jianhua Z. Huang,,2010,success,success
10.1214/10-AOS799,Z. I. Botev,J. F. Grotowski,D.P. Kroese,Z. I. Botev,2010,success,success
10.1214/10-AOS812,Wilfredo Palma,,Ricardo Olea,Wilfredo Palma,2010,success,success
10.1214/10-AOS814,Roger Koenker,,Ivan Mizera,Roger Koenker,2010,success,success
10.1214/10-AOS816,Yehua Li,,Tailen Hsing,,2010,success,success
10.1214/10-AOS817,Louigi Addario‐Berry,Nicolas Broutin; Luc Devroye,Gábor Lugosi,,2010,success,success
10.1214/09-AOS749,Yacine Ait-Sahalia,,Jean Jacod,Yacine Ait-Sahalia,2010,success,success
10.1214/09-AOS763,Yacine Ait-Sahalia,Jianqing Fan,Jiancheng Jiang,Yacine Ait-Sahalia,2010,success,success
10.1214/09-AOS785,C. J. Brien,,R. A. Bailey,C. J. Brien,2010,success,success
10.1214/10-AOS801,Noureddine El Karoui,,,Noureddine El Karoui,2010,success,success
10.1214/09-AOS754,Elı́as Moreno,F. J. Girón,George Casella,,2010,success,success
10.1214/09-AOS777,Bodhisattva Sen,Moulinath Banerjee,Michael Woodroofe,,2010,success,success
10.1214/09-AOS778,Junzhou Huang,,Tong Zhang,,2010,success,success
10.1214/09-AOS762,Lawrence D. Brown,Tommaso Cai,Harrison H. Zhou,,2010,success,success
10.1214/09-AOS770,Tzee‐Ming Huang,,,Tzee‐Ming Huang,2010,success,success
10.1214/09-AOS780,Pang Du,Shuangge Ma,Hua Liang,,2010,success,success
10.1214/09-AOS752,T. Tony Cai,Cun-Hui Zhang,Harrison H. Zhou,T. Tony Cai,2010,success,success
10.1214/09-AOS788,Holger Drees,,Holger Rootzén,Holger Drees,2010,success,success
10.1214/09-AOS769,Zhou Zhou,,,Zhou Zhou,2010,success,success
10.1214/10-AOS796,Hongjian Zhu,,Feifang Hu,Hongjian Zhu,2010,success,success
10.1214/09-AOS779,Clive G. Bowsher,,,Clive G. Bowsher,2010,success,success
10.1214/09-AOS781,Jian Huang,Joël L. Horowitz,Fengrong Wei,,2010,success,success
10.1214/09-AOS782,Min Hee Kim,,Michael G. Akritas,,2010,success,success
10.1214/09-AOS784,Hongqi Xue,Hongyu Miao,Hulin Wu,,2010,success,success
10.1214/09-AOS789,Weidong Liu,,Wei Biao Wu,Weidong Liu,2010,success,success
10.1214/10-AOS800,Jérémie Bigot,,Sébastien Gadat,,2010,success,success
10.1214/09-AOS783,Stephan Huckemann,Peter T. Kim; Ja‐Yong Koo,Axel Munk,,2010,success,success
10.1214/09-AOS787,Min Yang,,,Min Yang,2010,success,success
10.1214/09-AOS790,Florentina Bunea,Alexandre B. Tsybakov; Marten H. Wegkamp,Adrian Barbu,Florentina Bunea,2010,success,success
10.1214/10-AOS791,Ian W. McKeague,,Bodhisattva Sen,,2010,success,success
10.1214/09-AOS691,Pradeep Ravikumar,Martin J. Wainwright,John D. Lafferty,Pradeep Ravikumar,2010,success,success
10.1214/09-AOS746,Byeong U. Park,Seok‐Oh Jeong,Léopold Simar,,2010,success,success
10.1214/09-AOS750,Yukun Liu,,Jiahua Chen,Jiahua Chen,2010,success,success
10.1214/09-AOS751,Nicolas Verzélen,,,Nicolas Verzélen,2010,success,success
10.1214/09-AOS753,Jiancheng Jiang,Yingying Fan,Jianqing Fan,Jiancheng Jiang,2010,success,success
10.1214/09-AOS755,Wing H Wong,,Li Ma,Wing H Wong,2010,success,success
10.1214/09-AOS757,C. Devon Lin,Derek Bingham; Randy R Sitter,Boxin Tang,C. Devon Lin,2010,success,success
10.1214/09-AOS756,Jean Jacod,Mark Podolskij,Mathias Vetter,Jean Jacod,2010,success,success
10.1214/09-AOS758,Tigran Markaryan,,William F. Rosenberger,,2010,success,success
10.1214/09-AOS761,Yaming Yu,,,Yaming Yu,2010,success,success
10.1214/09-AOS771,Yijian Huang,,,Yijian Huang,2010,success,success
10.1214/09-AOS743,Richard A. Olshen,,Bala Rajaratnam,Richard A. Olshen,2010,success,success
10.1214/09-AOS760,Seth Sullivant,Kelli Talaska,Jan Draisma,Seth Sullivant,2010,success,success
10.1214/09-AOS764,Peter Hall,,Jiashun Jin,Peter Hall,2010,success,success
10.1214/09-AOS765,Andriy Norets,,,Andriy Norets,2010,success,success
10.1214/09-AOS766,Richard J. Samworth,,M. P. Wand,,2010,success,success
10.1214/09-AOS767,Marianna Pensky,,Theofanis Sapatinas,,2010,success,success
10.1214/09-AOS768,Siegfried Hörmann,,Piotr Kokoszka,,2010,success,success
10.1214/07-AOS566,Myriam Vimond,,,Myriam Vimond,2010,success,success
10.1214/09-AOS774,Weidong Liu,,Qi-Man Shao,,2010,success,success
10.1214/09-AOS723,Marc Hallin,Davy Paindaveine,Miroslav Šiman,,2010,success,success
10.1214/09-AOS723A,Ying Wei,,,Ying Wei,2010,success,success
10.1214/09-AOS723B,Robert Serfling,,Yijun Zuo,,2010,success,success
10.1214/09-AOS723C,Linglong Kong,,Ivan Mizera,Linglong Kong,2010,success,success
10.1214/08-AOS629,Nicolas Verzélen,,Fanny Villers,,2010,success,success
10.1214/09-AOS687,Davide Ferrari,,Yuhong Yang,,2010,success,success
10.1214/09-AOS702,Κωνσταντίνος Καλογερόπουλος,Gareth O. Roberts,Πέτρος Δελλαπόρτας,Πέτρος Δελλαπόρτας,2010,success,success
10.1214/09-AOS716,Song Xi Chen,,Yingli Qin,Song Xi Chen,2010,success,success
10.1214/09-AOS718,Jim Kuelbs,,Anand N. Vidyashankar,Jim Kuelbs,2010,success,success
10.1214/09-AOS725,Ethan Anderes,,,Ethan Anderes,2010,success,success
10.1214/09-AOS729,Cun‐Hui Zhang,,,Cun‐Hui Zhang,2010,success,success
10.1214/09-AOS730,Yazhen Wang,,Jian Zou,,2010,success,success
10.1214/09-AOS731,MinJung Kyung,Jeff Gill,George Casella,MinJung Kyung,2010,success,success
10.1214/09-AOS732,Guenther Walther,,,Guenther Walther,2010,success,success
10.1214/09-AOS735,James M. Flegal,,Galin L. Jones,,2010,success,success
10.1214/09-AOS736,Peter Hall,,Tung Pham,Tung Pham,2010,success,success
10.1214/09-AOS737,Bing Li,Min Kyung Kim,Naomi Altman,,2010,success,success
10.1214/09-AOS738,Evarist Gine,,Richard Nickl,Evarist Gine,2010,success,success
10.1214/09-AOS741,Aurore Delaigle,,Peter Hall,,2010,success,success
10.1214/09-AOS742,Ci‐Ren Jiang,,Jane-Ling Wang,Ci‐Ren Jiang,2010,success,success
10.1214/09-AOS748A,Jens Ledet Jensen,,,Jens Ledet Jensen,2010,success,success
10.1214/09-AOS748B,Cheng–Der Fuh,,,Cheng–Der Fuh,2010,success,success
10.1214/08-AOS648,Noureddine El Karoui,,,Noureddine El Karoui,2009,success,success
10.1214/08-AOS667,Sylvain Arlot,Gilles Blanchard,Étienne Roquain,,2009,success,success
10.1214/08-AOS668,Sylvain Arlot,Gilles Blanchard,Étienne Roquain,,2009,success,success
10.1214/09-AOS696,T. Tony Cai,,Jiashun Jin,T. Tony Cai,2009,success,success
10.1214/09-AOS703,Judith Rousseau,,,Judith Rousseau,2009,success,success
10.1214/09-AOS705,Georgi K. Golubev,Michael Nussbaum,Harrison H. Zhou,,2009,success,success
10.1214/09-AOS710,Aleksandar Mijatović,,Paul Schneider,Aleksandar Mijatović,2009,success,success
10.1214/09-AOS712,Jane-Ling Wang,Liugen Xue; Lixing Zhu,Yun Sam Chong,,2009,success,success
10.1214/09-AOS714,Yuan Liao,,Wenxin Jiang,,2009,success,success
10.1214/09-AOS715,Denis Belomestny,,,Denis Belomestny,2009,success,success
10.1214/09-AOS721,Piet Groeneboom,Geurt Jongbloed,Birgit I. Witte,Piet Groeneboom,2009,success,success
10.1214/09-AOS722,Somdeb Lahiri,,,Somdeb Lahiri,2009,success,success
10.1214/09-AOS724,Xin Qi,,Hongyu Zhao,Xin Qi,2009,success,success
10.1214/09-AOS726,Jussi Klemelä,,Enno Mammen,,2009,success,success
10.1214/09-AOS728,Shahar Mendelson,,Joseph Neeman,Shahar Mendelson,2009,success,success
10.1214/09-AOS733,Christine Jacob,,,Christine Jacob,2009,success,success
10.1214/09-AOS734,Joseph P. Romano,,Michael Wolf,,2009,success,success
10.1214/09-AOS689,Elizabeth S. Allman,Catherine Matias,John A. Rhodes,,2009,success,success
10.1214/09-AOS685,Marloes H. Maathuis,Markus Kalisch,Peter Bühlmann,Marloes H. Maathuis,2009,success,success
10.1214/08-AOS680,Estate V. Khmaladze,,Hira L. Koul,Estate V. Khmaladze,2009,success,success
10.1214/08-AOS591,Yao-ban Chan,,Peter Hall,Yao-ban Chan,2009,success,success
10.1214/08-AOS681,T. Tony Cai,,Harrison H. Zhou,T. Tony Cai,2009,success,success
10.1214/08-AOS671,Christopher R. Genovese,Marco Perone Pacifico; Isabella Verdinelli,Larry Wasserman,Christopher R. Genovese,2009,success,success
10.1214/08-AOS673,Victor M. Panaretos,,,Victor M. Panaretos,2009,success,success
10.1214/09-AOS686,Peter Hall,Hans‐Georg Müller,Fang Yao,Hans‐Georg Müller,2009,success,success
10.1214/08-AOS676,Juan Du,Hao Zhang,V. Mandrekar,,2009,success,success
10.1214/09-AOS682,Paolo Baldi,G. Kerkyacharian; Domenico Marinucci,D. Picard,,2009,success,success
10.1214/08-AOS669,Hélène Massam,Jinnan Liu,Adrian Dobra,Hélène Massam,2009,success,success
10.1214/07-AOS584,Peng Zhao,Guilherme V. Rocha,Bin Yu,,2009,success,success
10.1214/09-AOS683,Jinchi Lv,,Yingying Fan,Jinchi Lv,2009.0,success,success
10.1214/08-AOS610,Yoshihiro Yajima,,Yasumasa Matsuda,,2009.0,success,success
10.1214/08-AOS670,Hegang H. Chen,,Ching‐Shui Cheng,,2009.0,success,success
10.1214/09-AOS690,Peter Z. G. Qian,Mingyao Ai,C. F. Jeff Wu,Peter Z. G. Qian,2009.0,success,success
10.1214/09-AOS688,Marcelo J. Moreira,,,Marcelo J. Moreira,2009.0,success,success
10.1214/08-AOS679,,,,,,not_found,not_found
10.1214/09-AOS692,Lukas Meier,Sara van de Geer,Peter Bühlmann,,2009.0,success,success
10.1214/09-AOS694,Zhidong Bai,Dandan JIANG; Jian-Feng Yao,Shurong Zheng,Zhidong Bai,2009.0,success,success
10.1214/09-AOS695,Huixia Judy Wang,Zhongyi Zhu,Jianhui Zhou,Huixia Judy Wang,2009.0,success,success
10.1214/09-AOS697,Art B. Owen,,,Art B. Owen,2009.0,success,success
10.1214/09-AOS698,Jiti Gao,Maxwell L. King; Zudi Lu,Dag Tjøstheim,,2009.0,success,success
10.1214/09-AOS699,Peter Hall,,Hugh Miller,Peter Hall,2009.0,success,success
10.1214/09-AOS700,Tao Shi,Mikhail A. Belkin,Bin Yu,,2009.0,success,success
10.1214/09-AOS701,Hock Peng Chan,,,Hock Peng Chan,2009.0,success,success
10.1214/09-AOS704,Kyungchul Song,,,Kyungchul Song,2009.0,success,success
10.1214/09-AOS707,Alexander Aue,Siegfried Hörmann; Lajos Horváth,Matthew Reimherr,Alexander Aue,2009.0,success,success
10.1214/09-AOS708,Holger Dette,,Tim Holland‐Letz,,2009.0,success,success
10.1214/09-AOS709,Sungkyu Jung,,J. S. Marron,,2009.0,success,success
10.1214/09-AOS713,Jianqing Fan,Yichao Wu,Yang Feng,Jianqing Fan,2009.0,success,success
10.1214/09-AOS717,C. J. Brien,,R. A. Bailey,C. J. Brien,2009.0,success,success
10.1214/09-AOS719,Xiaohong Chen,Wei Biao Wu,Yanping Yi,,2009.0,success,success
10.1214/09-AOS720,Clifford Lam,,Jianqing Fan,Clifford Lam,2009.0,success,success
10.1214/09-AOS706,Xiaohong Chen,Lars Peter Hansen,José Scheinkman,,2009.0,success,success
10.1214/08-AOS641,Gareth James,Jing Wang,Ji Zhu,,2009.0,success,success
10.1214/08-AOS659,Tong Zhang,,,Tong Zhang,2009.0,success,success
10.1214/08-AOS653,Emmanuel J. Candès,,Yaniv Plan,Emmanuel J. Candès,2009.0,success,success
10.1214/08-AOS646,Larry Wasserman,,Kathryn Roeder,Larry Wasserman,2009.0,success,success
10.1214/08-AOS640,Yacine Aït‐Sahalia,,Jean Jacod,,2009.0,success,success
10.1214/08-AOS642,Ursula U. Müller,,,Ursula U. Müller,2009.0,success,success
10.1214/08-AOS654,Anatoli B. Juditsky,,Arkadi S. Nemirovski,Anatoli B. Juditsky,2009.0,success,success
10.1214/08-AOS652,Jan Johannes,,,Jan Johannes,2009.0,success,success
10.1214/08-AOS647,Ethan Anderes,,Sourav Chatterjee,,2009.0,success,success
10.1214/08-AOS657,Bin Nan,John D. Kalbfleisch,Menggang Yu,,2009.0,success,success
10.1214/08-AOS662,Wenyang Zhang,Jianqing Fan,Yan Sun,Wenyang Zhang,2009.0,success,success
10.1214/08-AOS643,Rui Song,Michael R. Kosorok,JASON P. FINE,Rui Song,2009.0,success,success
10.1214/08-AOS645,Marián Grendár,,George Judge,Marián Grendár,2009.0,success,success
10.1214/08-AOS649,Ao Yuan,,,Ao Yuan,2009.0,success,success
10.1214/08-AOS639,Surya T. Tokdar,Ryan Martin,Jayanta K. Ghosh,Surya T. Tokdar,2009.0,success,success
10.1214/08-AOS651,Jiahua Chen,,Pengfei Li,,2009.0,success,success
10.1214/08-AOS655,Feifang Hu,Zhang Li,Xuming He,,2009.0,success,success
10.1214/08-AOS656,Frederick Kin Hing Phoa,,Hongquan Xu,,2009.0,success,success
10.1214/08-AOS658,Cun-Hui Zhang,,Zhiyi Zhang,Cun-Hui Zhang,2009.0,success,success
10.1214/07-AOS575,P. L. Davies,A. Kovac,Monika Meise,,2009.0,success,success
10.1214/07-AOS577,Faming Liang,,,Faming Liang,2009.0,success,success
10.1214/08-AOS678,Aad van der Vaart,,J. H. van Zanten,,2009.0,success,success
10.1214/08-AOS590,Zhengyan Lin,,Weidong Liu,,2009.0,success,success
10.1214/08-AOS636,Zhou Zhou,,Wei Biao Wu,Zhou Zhou,2009.0,success,success
10.1214/08-AOS674,Jean‐Marc Bardet,,Olivier Wintenberger,,2009.0,success,success
10.1214/08-AOS661,,,,,,not_found,not_found
10.1214/08-AOS607,Vladimir Spokoiny,,Celine Vial,Vladimir Spokoiny,2009.0,success,success
10.1214/08-AOS626,R. Ayesha Ali,Thomas S. Richardson,Peter Spirtes,,2009.0,success,success
10.1214/08-AOS660,Hannes Leeb,,,Hannes Leeb,2009.0,success,success
10.1214/08-AOS664,Arash A. Amini,,Martin J. Wainwright,Arash A. Amini,2009.0,success,success
10.1214/08-AOS665,,,,,,not_found,not_found
10.1214/08-AOS677,John H. J. Einmahl,,Johan Segers,John H. J. Einmahl,2009.0,success,success
10.1214/08-AOS672,Christian Genest,,Johan Segers,Christian Genest,2009.0,success,success
10.1214/08-AOS666,Marek Omelka,Irène Gijbels,Noël Veraverbeke,,2009.0,success,success
10.1214/07-AOS556,Alexander J. McNeil,,Johanna Nešlehová,Alexander J. McNeil,2009.0,success,success
10.1214/08-AOS623,Jean-Yves Audibert,,,Jean-Yves Audibert,2009.0,success,success
10.1214/08-AOS638,Wenhua Jiang,,Cun‐Hui Zhang,,2009.0,success,success
10.1214/08-AOS630,Lawrence D. Brown,,Eitan Greenshtein,Lawrence D. Brown,2009.0,success,success
10.1214/08-AOS620,Peter J. Bickel,Ya’acov Ritov,Alexandre B. Tsybakov,,2009.0,success,success
10.1214/08-AOS625,Hui Zou,,Hao Helen Zhang,,2009.0,success,success
10.1214/08-AOS602,,,,,,not_found,not_found
10.1214/08-AOS627,Xia Cui,Wensheng Guo; Lu Lin,Lixing Zhu,,2009.0,success,success
10.1214/08-AOS637,Kenji Fukumizu,Francis Bach,Michael I. Jordan,,2009.0,success,success
10.1214/08-AOS631,Pierpaolo De Blasi,Giovanni Peccati,Igor Prünster,Pierpaolo De Blasi,2009.0,success,success
10.1214/08-AOS632,Beth Andrews,Matthew Calder,Richard A. Davis,Beth Andrews,2009.0,success,success
10.1214/08-AOS633,Paul Malliavin,,Maria Elvira Mancino,Paul Malliavin,2009.0,success,success
10.1214/08-AOS634,Alexandre Belloni,,Victor Chernozhukov,,2009.0,success,success
10.1214/08-AOS635,Holger Dette,,Stefanie Titoff,,2009.0,success,success
10.1214/07-AOS555,Nils Lid Hjort,Ian W. McKeague,Ingrid Van Keilegom,Ingrid Van Keilegom,2009.0,success,success
10.1214/08-AOS599,N. Balakrishnan,,Xingqiu Zhao,N. Balakrishnan,2009.0,success,success
10.1214/08-AOS601,P. Baldi,G. Kerkyacharian; D. Marinucci,D. Picard,P. Baldi,2009.0,success,success
10.1214/08-AOS604,Ery Arias-Castro,,David L. Donoho,,2009.0,success,success
10.1214/08-AOS606,George Casella,F. Javier Girón; M. Lina Martínez,Elias Moreno,George Casella,2009.0,success,success
10.1214/08-AOS608,Debashis Paul,,Jie Peng,Debashis Paul,2009.0,success,success
10.1214/08-AOS598,Bing Li,,Yuexiao Dong,Bing Li,2009.0,success,success
10.1214/08-AOS609,Fadoua Balabdaoui,Kaspar Rufibach,Jon A. Wellner,Fadoua Balabdaoui,2009.0,success,success
10.1214/08-AOS621,Vladimir Koltchinskii,,,Vladimir Koltchinskii,2009.0,success,success
10.1214/08-AOS611,Anatoli B. Juditsky,Oleg V. Lepski,Alexandre B. Tsybakov,Anatoli B. Juditsky,2009.0,success,success
10.1214/08-AOS612,Vladimir Spokoiny,,,Vladimir Spokoiny,2009.0,success,success
10.1214/08-AOS613,Tyler J. VanderWeele,,James M. Robins,Tyler J. VanderWeele,2009.0,success,success
10.1214/08-AOS614,Hua Hua Chang,,Zhiliang Ying,Hua Hua Chang,2009.0,success,success
10.1214/08-AOS615,Malka Gorfine,David M. Zucker,Li Hsu,,2009.0,success,success
10.1214/08-AOS616,Arthur Cohen,Harold B. Sackrowitz,Minya Xu,,2009.0,success,success
10.1214/08-AOS617,Sanat K. Sarkar,,Wenge Guo,Wenge Guo,2009.0,success,success
10.1214/08-AOS622,Vladimir Vovk,Ilia Nouretdinov,Alex Gammerman,Vladimir Vovk,2009.0,success,success
10.1214/07-AOS538,T. Tony Cai,,Harrison H. Zhou,T. Tony Cai,2009.0,success,success
10.1214/07-AOS569,Helmut Finner,Thorsten Dickhaus,Markus Roters,,2009.0,success,success
10.1214/07-AOS586,Yulia Gavrilov,Yoav Benjamini,Sanat K. Sarkar,,2009.0,success,success
10.1214/07-AOS573,Yannick Baraud,Christophe Giraud,Sylvie Huet,,2009.0,success,success
10.1214/07-AOS580,Huiliang Xie,,Jian Huang,Huiliang Xie,2009.0,success,success
10.1214/07-AOS574,Christophe Andrieu,,Gareth O. Roberts,,2009.0,success,success
10.1214/07-AOS589,Tailen Hsing,,Haobo Ren,,2009.0,success,success
10.1214/07-AOS564,Huixia Judy Wang,,Mendel Fygenson,Huixia Judy Wang,2009.0,success,success
10.1214/07-AOS579,Geurt Jongbloed,,Frank H. van der Meulen,Geurt Jongbloed,2009.0,success,success
10.1214/07-AOS570,Nora Muler,Daniel Peña,Victor J. Yohai,Nora Muler,2009.0,success,success
10.1214/07-AOS562,Ingo Steinwart,,Marian Anghel,,2009.0,success,success
10.1214/08-AOS595,XuanLong Nguyen,Martin J. Wainwright,Michael I. Jordan,XuanLong Nguyen,2009.0,success,success
10.1214/07-AOS587,James O. Berger,José M. Bernardo,Dongchu Sun,,2009,success,success
10.1214/08-AOS592,R. M. Dudley,Sergiy Sidenko,Zuoqin Wang,,2009,success,success
10.1214/08-AOS594,Giovanni M. Marchetti,,Nanny Wermuth,Giovanni M. Marchetti,2009,success,success
10.1214/07-AOS571,Mathias Drton,,,Mathias Drton,2009,success,success
10.1214/08-AOS597,Wojciech Olszewski,,Alvaro Sandroni,Wojciech Olszewski,2009,success,success
10.1214/08-AOS593,Michael Nussbaum,,Arleta Szkoła,Michael Nussbaum,2009,success,success
10.1214/08-AOS596,Caterina May,,Nancy Flournoy,Nancy Flournoy,2009,success,success
10.1214/07-AOS516,Michal Benko,Wolfgang Härdle,Alois Kneip,Michal Benko,2009,success,success
10.1214/07-AOS563,Christophe Crambes,Alois Kneip,Pascal Sarda,Christophe Crambes,2009,success,success
10.1214/07-AOS552,Marianna Pensky,,Theofanis Sapatinas,,2009,success,success
