doi,first_author,middle_authors,last_author,corresponding_author,status
10.1214/17-AOS1657,John C. Duchi,Khashayar Khosravi,Feng Ruan,,success
10.1214/17-AOS1658,Davy Paindaveine,,Germain Van Bever,,success
10.1214/17-AOS1659,Xuan Bi,Annie Qu,Xiaotong Shen,,success
10.1214/17-AOS1660,Xiongtao Dai,,Hans‐Georg Müller,,success
10.1214/17-AOS1661,Junlong Zhao,Yu Guan,Yufeng Liu,,success
10.1214/17-AOS1662,Piotr Fryźlewicz,,,Piotr Fryźlewicz,success
10.1214/17-AOS1663,,,,,not_found
10.1214/17-AOS1664,Claudia Strauch,,,Claudia Strauch,success
10.1214/17-AOS1666,Andreas Elsener,,Sara van de Geer,,success
10.1214/17-AOS1667,,,,,not_found
10.1214/17-AOS1679,Ethan R. Elenberg,Rajiv Khanna; Alexandros G. Dimakis,Sahand Negahban,,success
10.1214/17-AOS1669,,,,,not_found
10.1214/17-AOS1670,,,,,not_found
10.1214/17-AOS1671,Alexandre Belloni,Victor Chernozhukov; Denis Chetverikov,Ying Wei,Denis Chetverikov,success
10.1214/17-AOS1672,Cristina Butucea,Mădălin Guţă,Michael Nussbaum,Cristina Butucea,success
10.1214/17-AOS1673,Yichong Zhang,,,Yichong Zhang,success
10.1214/17-AOS1674,Lin Wang,Qian Xiao,Hongquan Xu,,success
10.1214/17-AOS1675,Yannick Baraud,,Lucien Birgé,,success
10.1214/17-AOS1676,Hau‐Tieng Wu,,Nan Wu,,success
10.1214/17-AOS1677,Giacomo Aletti,Andrea Ghiglietti,William F. Rosenberger,,success
10.1214/17-AOS1628,David Gamarnik,,Quan Li,,success
10.1214/17-AOS1629,Simon Mak,,V. Roshan Joseph,,success
10.1214/17-AOS1630,Adel Javanmard,,Andrea Montanari,,success
10.1214/17-AOS1631,Robin J. Evans,,,Robin J. Evans,success
10.1214/17-AOS1632,Jialiang Li,,Baisuo Jin,,success
10.1214/17-AOS1635,Li Zhu,Zhang Yao-wu,Kai Xu,,success
10.1214/17-AOS1636,Xavier Pennec,,,Xavier Pennec,success
10.1214/17-AOS1637,Mei Song,Yu Bai,Andrea Montanari,,success
10.1214/17-AOS1640,Mikael Escobar‐Bach,Yuri Goegebeur,Armelle Guillou,,success
10.1214/17-AOS1641,Philippe Heinrich,,Jonas Kahn,,success
10.1214/17-AOS1642,,,,,not_found
10.1214/17-AOS1643,Dominik Rothenhäusler,Jan Ernest,Peter Bühlmann,,success
10.1214/17-AOS1645,Siegfried Hörmann,Piotr Kokoszka,Gilles Nisol,,success
10.1214/17-AOS1646,Zhidong Bai,Kwok Pui Choi,Yasunori Fujikoshi,,success
10.1214/17-AOS1651,Haolei Weng,Arian Maleki,Le Zheng,,success
10.1214/17-AOS1647,Helmut Finner,,Veronika Gontscharuk,,success
10.1214/17-AOS1648,Mengyang Gu,Xiaojing Wang,James O. Berger,,success
10.1214/17-AOS1653,Olivier Collier,Laëtitia Comminges; Alexandre B. Tsybakov,Nicolas Verzélen,,success
10.1214/17-AOS1654,,,,,not_found
10.1093/biomet/asu017,Ce Zhang,,Yongchao Liu,Ce Zhang; Yongchao Liu,success
10.1093/biomet/asu018,Albert Vexler,Ge Tao,Alan D. Hutson,,success
10.1093/biomet/asu028,John Hanfelt,,Lin Wang,,success
10.1093/biomet/asu024,Aurélie Boisbunon,,Yuzo Maruyama,,success
10.1093/biomet/asu021,S. Georgiou,Stella Stylianou; Krystallenia Drosou,Christos Koukouvinos,,success
10.1093/biomet/asu009,Sihai Dave Zhao,Tommaso Cai,Huilin Li,,success
10.1093/biomet/ast065,Lee H. Dicker,,,Lee H. Dicker,success
10.1093/biomet/ast067,Sonia Petrone,Judith Rousseau,Catia Scricciolo,,success
10.1093/biomet/ast063,Lu Lin,,David B. Dunson,,success
10.1093/biomet/ast062,Jingbo Chen,,Peter Z. G. Qian,,success
10.1093/biomet/ast073,Yong Tang,,Hong-Yan Xu,,success
10.1093/biomet/ast070,Arman Sabbaghi,Tathagata Dasgupta,C. F. Jeff Wu,,success
10.1093/biomet/ast071,Haiping Wu,,John Stufken,,success
10.1093/biomet/ast060,Adrian Baddeley,J.-F. Coeurjolly; Ege Rubak,Rasmus Waagepetersen,,success
10.1093/biomet/ast069,Chao Deng,Rasmus Waagepetersen,Yongtao Guan,,success
10.1093/biomet/asu008,Davide Pigoli,John A. D. Aston; Ian L. Dryden,Piercesare Secchi,,success
10.1093/biomet/ast066,Manabu Kuroki,,J. Pearl,,success
10.1093/biomet/asu003,J. K. Kim,,Jongho Im,,success
10.1093/biomet/asu002,D. Zhan,,Jeffrey D. Hart,,success
10.1093/biomet/asu004,Yijian Huang,,,Yijian Huang,success
10.1093/biomet/asu006,Bo An,Jianhua Guo,Liu Y,Bo An; Jianhua Guo; Liu Y,success
10.1093/biomet/ast064,Seunggeun Lee,Fei Zou,Fred A. Wright,,success
10.1093/biomet/ast068,Mehdi Soleymani,,Seonggye Lee,,success
10.1093/biomet/ast072,Guy P. Nason,,,Guy P. Nason,success
10.1093/biomet/ast042,Jennifer L. Wadsworth,,Jonathan A. Tawn,,success
10.1093/biomet/ast046,Grant B. Weller,,D. Cooley,,success
10.1093/biomet/ast055,Maarten Jansen,,,Maarten Jansen,success
10.1093/biomet/ast047,Yingying Fan,,Jinchi Lv,,success
10.1093/biomet/ast041,Shengwu Xiong,,,Shengwu Xiong,success
10.1093/biomet/ast053,Arend Voorman,Ali Shojaie,Daniela Witten,Arend Voorman; Ali Shojaie; Daniela Witten,success
10.1093/biomet/ast059,Tong Zhang,,Hui Zou,,success
10.1093/biomet/ast051,Michael Vogt,,Oliver Linton,,success
10.1093/biomet/ast044,Jun S. Liu,Andrew Gelman; Jennifer Hill; Yu‐Sung Su,Jonathan Kropko,,success
10.1093/biomet/ast054,Anders Skrondal,,Sophia Rabe‐Hesketh,,success
10.1093/biomet/ast050,Simon Byrne,,A. P. Dawid,Simon Byrne,success
10.1093/biomet/ast052,Xiaoke Zhang,Gang Zou,Hua Liang,,success
10.1093/biomet/ast043,Jonas Peters,,Peter Bühlmann,,success
10.1093/biomet/ast040,Changliang Zou,Liuhua Peng; Long Feng,Zhaojun Wang,,success
10.1093/biomet/ast045,Stijn Vansteelandt,Torben Martinussen,Eric J. Tchetgen Tchetgen,,success
10.1093/biomet/ast048,Claudio Heinrich,,,Claudio Heinrich,success
10.1093/biomet/asu001,Thaís C. O. Fonseca,M. A. R. Ferreira,Hélio S. Migon,,success
10.1093/biomet/ast020,,,,,not_found
10.1093/biomet/ast037,Antonio Canale,,David B. Dunson,,success
10.1093/biomet/ast024,Nathan Stein,,Xiao‐Li Meng,,success
10.1093/biomet/ast027,Thomas Lumley,,A. J. Scott,,success
10.1093/biomet/ast029,Xiaoxi Liu,,Donglin Zeng,,success
10.1093/biomet/ast039,Ching‐Yuan Huang,,Jing Qin,,success
10.1093/biomet/ast025,Xiaojiang Duan,,Xiao‐Hua Zhou,,success
10.1093/biomet/ast036,Kun Chen,Haobin Dong,Kalok Chan,,success
10.1093/biomet/ast031,Xiao Wang,P. Du,Jinglai Shen,,success
10.1093/biomet/ast035,Dominic Magirr,Thomas Jaki; Martin Posch,Florian Klinglmueller,Dominic Magirr; Thomas Jaki; Martin Posch; Florian Klinglmueller,success
10.1093/biomet/ast032,Edward Susko,,,Edward Susko,success
10.1093/biomet/ast056,Zhiqiang Tan,,,Zhiqiang Tan,success
10.1093/biomet/ast061,D. M. Titterington,,,D. M. Titterington,success
10.1093/biomet/ast030,Valéry Dongmo Jiongo,David Haziza,Pierre Duchesne,,success
10.1093/biomet/ast033,Piotr Fryźlewicz,,,Piotr Fryźlewicz,success
10.1093/biomet/ast026,R. Dennis Cook,,Zhihua Su,,success
10.1093/biomet/ast021,Alfred Kume,Simon Preston,Andrew T. A. Wood,,success
10.1093/biomet/ast034,Qiong Zhang,,Peter Z. G. Qian,Qiong Zhang; Peter Z. G. Qian,success
10.1093/biomet/ast038,Simon N. Wood,,,Simon N. Wood,success
10.1093/biomet/ast028,A. Armağan,David B. Dunson; Jong‐Koo Lee; Waheed U. Bajwa,Nate Strawn,,success
10.1093/biomet/ast023,Miguel A. Martínez‐Beneito,,,Miguel A. Martínez‐Beneito,success
10.1093/biomet/ast010,Jean‐François Beaumont,David Haziza,Anne Ruiz‐Gazen,,success
10.1093/biomet/ast017,Richard Arnold,,Peter E. Jupp,,success
10.1093/biomet/ast013,Christian Y. Robert,,,Christian Y. Robert,success
10.1093/biomet/ast004,Hans‐Georg Müller,Yichao Wu,Fang Yao,,success
10.1093/biomet/ast015,Weining Shen,Surya T. Tokdar,Subhashis Ghosal,,success
10.1093/biomet/ast005,Zhou Yu,Lixing Zhu; Hongxia Peng,Lixing Zhu,,success
10.1093/biomet/ast009,Ning Yao,,Han Liu,,success
10.1093/biomet/ast022,Daniel F. McCaffrey,J. R. Lockwood,Claude Messan Setodji,,success
10.1093/biomet/ast014,Bo Zhang,Anastasios A. Tsiatis; Eric B. Laber,Marie Davidian,,success
10.1093/biomet/ast018,S. Kim,J. Cai,Wenbin Lu,,success
10.1093/biomet/ast011,Feng Lin,Young K. Truong,Jason P. Fine,,success
10.1093/biomet/ast016,Feng Lin,J. Cai; Jason P. Fine,Hsin-Hao Lai,,success
10.1093/biomet/ast012,Bo Liu,Wenbin Lu,Jianping Zhang,,success
10.1093/biomet/ast007,Menggang Yu,,,Menggang Yu,success
10.1093/biomet/ast008,Kwun Chuen Gary Chan,,,Kwun Chuen Gary Chan,success
10.1093/biomet/ast006,Pier Giovanni Bissiri,Andrea Ongaro,Stephen G. Walker,,success
10.1093/biomet/ast019,Ori Davidov,,George Iliopoulos,,success
10.1093/biomet/ass074,Yoav Benjamini,Vered Madar,Philip B. Stark,,success
10.1093/biomet/ass078,Yi‐Hau Chen,N. Chatterjee,Raymond J. Carroll,,success
10.1093/biomet/ass091,Qian Chen,Donglin Zeng; J. G. Ibrahim; M. Akacha,Heinz Schmidli,,success
10.1093/biomet/ass082,Felix Abramovich,,Vadim Grinshtein,,success
10.1093/biomet/ass075,Yanyuan Ma,,Li Zhu,,success
10.1093/biomet/ass085,J. K. Kim,,Chris Skinner,,success
10.1093/biomet/ass090,Zhijun Tan,,,Zhijun Tan,success
10.1093/biomet/ass087,Peisong Han,,Lianzhou Wang,,success
10.1093/biomet/ass086,P. Hall,Yingcun Xia,Jie Xue,,success
10.1093/biomet/ass081,Nick Polson,,James G. Scott,,success
10.1093/biomet/ass070,Ruth Heller,Yair Heller,Malka Gorfine,,success
10.1093/biomet/ass088,Robert T. Krafty,,W. O. Collinge,,success
10.1093/biomet/ass079,Cari G. Kaufman,,Benjamin A. Shaby,,success
10.1093/biomet/ass080,Alberto Roverato,Monia Lupparelli,Luca La Rocca,,success
10.1093/biomet/ast001,Hongyuan Cao,Wenguang Sun,Michael R. Kosorok,,success
10.1093/biomet/ass089,Raphaël Huser,,A. C. Davison,,success
10.1093/biomet/ass084,Ting Yan,,Jinfeng Xu,,success
10.1093/biomet/ass073,YH Lin,,Kewei Chen,,success
10.1093/biomet/ast002,James R. Schott,,,James R. Schott,success
10.1093/biomet/asv048,Maria Konstantinou,,Holger Dette,Holger Dette,success
10.1093/biomet/asv044,Yongdao Zhou,,Hongquan Xu,,success
10.1093/biomet/asv031,Hongyuan Cao,,Wei Biao Wu,Wei Biao Wu,success
10.1093/biomet/asv039,Lorenzo Camponovo,,,Lorenzo Camponovo,success
10.1093/biomet/asv038,Andriy Derkach,Jerald F. Lawless,Lei Sun,Andriy Derkach,success
10.1093/biomet/asv035,Fabrizia Mealli,,Donald B. Rubin,Fabrizia Mealli; Donald B. Rubin,success
10.1093/biomet/asv028,Eric B. Laber,,Ying‐Qi Zhao,Eric B. Laber; Ying‐Qi Zhao,success
10.1093/biomet/asv030,Yuanjia Wang,Baosheng Liang; Xingwei Tong; Karen Marder; Susan Bressman; Avi Orr‐Urtreger; Nir Giladi,Donglin Zeng,,success
10.1093/biomet/asv013,Patrick Danaher,Debashis Paul,Pei Wang,Debashis Paul; Pei Wang,success
10.1093/biomet/asv016,Xin Chen,R. Dennis Cook,Changliang Zou,R. Dennis Cook,success
10.1093/biomet/asv022,Klaus Nordhausen,,David E. Tyler,Klaus Nordhausen,success
10.1093/biomet/asv021,Kwangil Ro,Changliang Zou; Zhaojun Wang,Guosheng Yin,Changliang Zou; Zhaojun Wang; Guosheng Yin,success
10.1093/biomet/asv026,Sebastian Kurtek,,Karthik Bharath,,success
10.1093/biomet/asv023,James G. Scott,Thomas S. Shively,S. G. Walker,,success
10.1093/biomet/asv009,Ping Ma,Jianhua Z. Huang,Nan Zhang,,success
10.1093/biomet/asv010,Malay Ghosh,Tatsuya Kubokawa,Yuki Kawakubo,Yuki Kawakubo,success
10.1093/biomet/asv005,Timothy W. Waite,,David C. Woods,,success
10.1093/biomet/asv015,Holger Rootzén,,Dmitrii Zholud,,success
10.1093/biomet/asv029,Jennifer L. Wadsworth,,,Jennifer L. Wadsworth,success
10.1093/biomet/asv014,Takafumi Kanamori,,Hironori Fujisawa,Takafumi Kanamori,success
10.1093/biomet/asv017,Guodong Li,Bo Guan; Wai Keung Li,Philip L. H. Yu,Bo Guan; Wai Keung Li; Philip L. H. Yu,success
10.1093/biomet/asv027,Francis K. C. Hui,David I. Warton,Scott D. Foster,David I. Warton; Scott D. Foster,success
10.1093/biomet/asv020,Ling Ma,Tao Hu,Jianguo Sun,Tao Hu,success
10.1093/biomet/asv024,Hua Yun Chen,,,Hua Yun Chen,success
10.1093/biomet/asu067,Amitava Mukherjee,Kun Chen; Ning Wang,Ji Zhu,,success
10.1093/biomet/asu074,Xia Yin,Tianxi Cai,Tommaso Cai,,success
10.1093/biomet/asv012,Wenguang Sun,,Zhi Wei,,success
10.1093/biomet/asv011,Donglin Zeng,,D. Y. Lin,,success
10.1093/biomet/asu075,Arnaud Doucet,M. Pitt; George Deligiannidis,Robert Kohn,,success
10.1093/biomet/asv008,Yi Yu,Tengyao Wang,Richard J. Samworth,,success
10.1093/biomet/asu076,F. Blasques,Siem Jan Koopman,André Lucas,,success
10.1093/biomet/asu073,Jing Ning,Yong Chen; Chunyan Cai; Xuelin Huang,Mei-Cheng Wang,,success
10.1093/biomet/asv003,Shogo Kato,,Arthur Pewsey,,success
10.1093/biomet/asv002,V. Roshan Joseph,Evren Gul,Shan Ba,,success
10.1093/biomet/asu070,Yichao Wu,,Leonard A. Stefanski,,success
10.1093/biomet/asv018,Zhiming Xia,,Peihua Qiu,,success
10.1093/biomet/asv004,Yanyuan Ma,,Xinyu Zhang,,success
10.1093/biomet/asv006,Fang Yao,Edwin Kam Fai Lei,Yichao Wu,,success
10.1093/biomet/asv001,R. Dennis Cook,Liliana Forzani,Xin Zhang,R. Dennis Cook; Liliana Forzani; Xin Zhang,success
10.1093/biomet/asv019,Lucas Janson,William Fithian,Trevor Hastie,,success
10.1093/biomet/asu065,William Fithian,,Stefan Wager,,success
10.1093/biomet/asu049,Pingping Xu,Ji Zhu; Lixing Zhu,Yun Li,,success
10.1093/biomet/asu054,Daniel Gervini,,,Daniel Gervini,success
10.1093/biomet/asu053,Xiaoke Zhang,,J.-L. Wang,,success
10.1093/biomet/asu051,Shuai Chen,Daniela Witten,Ali Shojaie,,success
10.1093/biomet/asu068,Yuanshan Wu,,Guosheng Yin,,success
10.1093/biomet/asu069,Jun Shao,,J. Zhang,,success
10.1093/biomet/asu055,Xiaodong Luo,,Wei‐Yann Tsai,,success
10.1093/biomet/asu058,Yi‐Kuan Tseng,Yu‐Ru Su; Meng Mao,J. L. Wang,,success
10.1093/biomet/asu050,Ying‐Qi Zhao,Donglin Zeng; Eric B. Laber; Rui Song; Ming Yuan,M. R. Kosorok,Ying‐Qi Zhao; Donglin Zeng; Eric B. Laber; Rui Song; Ming Yuan; M. R. Kosorok,success
10.1093/biomet/asu048,Jin Qin,Han Zhang; P. Li; Demetrius Albanes,Kelly J. Yu,,success
10.1093/biomet/asu059,Shin Kato,,M. C. Jones,,success
10.1093/biomet/asu057,Michael Rosenblum,,,Michael Rosenblum,success
10.1093/biomet/asu060,Jinyuan Chang,,Peter Hall,,success
10.1093/biomet/asu066,Marc G. Genton,Simone A. Padoan,Huiyan Sang,Marc G. Genton; Simone A. Padoan; Huiyan Sang,success
10.1093/biomet/asu052,Hewitt D. Crane,,,Hewitt D. Crane,success
10.1093/biomet/asu072,Ashis Kumar Chakraborty,,P. Chaudhuri,,success
10.1093/biomet/asu056,Alexandre Belloni,Victor Chernozhukov,Kengo Kato,,success
10.1093/biomet/asu062,Qin Wang,Xiaolin Yin,Frank Critchley,,success
10.1093/biomet/asu031,Wei Lin,Peijun Shi; Rui Feng,Huilin Li,,success
10.1093/biomet/asu033,Ian Barnett,,Xinyi Lin,,success
10.1093/biomet/asu047,Rui Song,Wenlian Lu; Siwei Ma,X. Jessie Jeng,,success
10.1093/biomet/asu043,Eric B. Laber,Kristin A. Linn,Leonard A. Stefanski,,success
10.1093/biomet/asu044,Eric J. Tchetgen Tchetgen,,Ilya Shpitser,,success
10.1093/biomet/asu041,Daniel Vogel,,David E. Tyler,,success
10.1093/biomet/asu040,Daniele Durante,,David B. Dunson,,success
10.1093/biomet/asu045,Mukul Chandra Biswas,Mausumi Mukhopadhyay,Anil K. Ghosh,,success
10.1093/biomet/asu026,Arnab Sen,,Bodhisattva Sen,,success
10.1093/biomet/asu036,R. E. L. Aldred,R. A. Bailey; Brendan D. McKay,Ian M. Wanless,,success
10.1093/biomet/asu042,Rahul Mukerjee,Fasheng Sun,Boxin Tang,,success
10.1093/biomet/asu030,Peng Ding,,Tyler J. VanderWeele,,success
10.1093/biomet/asu046,Jing Qin,,Dean Follmann,,success
10.1093/biomet/asu038,Jing Lei,,,Jing Lei,success
10.1093/biomet/asu034,Shachar Kaufman,,Saharon Rosset,,success
10.1093/biomet/asu037,T. Wang,Xu Guo; Lixing Zhu,Peirong Xu,,success
10.1093/biomet/asu029,James R. Schott,,,James R. Schott,success
10.1093/biomet/asu039,Yuzo Maruyama,,William E. Strawderman,Yuzo Maruyama; William E. Strawderman,success
10.1093/biomet/asu061,Changyong Feng,H. Wang; Tai‐Tsang Chen,Xin Tu,,success
10.1093/biomet/asu007,David Wang,Christopher S. McMahan; Colin Gallagher,K. B. Kulasekera,,success
10.1093/biomet/asu022,Zhangjian Hu,Dean Follmann,Ning Wang,,success
10.1093/biomet/asu010,Ross L. Prentice,,,Ross L. Prentice,success
10.1093/biomet/asu005,Hong Zhu,,M.-C. Wang,,success
10.1093/biomet/asu015,Cécile Chauvel,,John O’Quigley,,success
10.1093/biomet/asu016,Mei‐Cheng Wang,,Chiung‐Yu Huang,,success
10.1093/biomet/asu025,Aurore Delaigle,P. Hall,Justin Wishart,,success
10.1093/biomet/asu012,Xiaoyu Jia,S. M. Lee,Ying Kuen Cheung,,success
10.1093/biomet/asu019,Suprateek Kundu,,David B. Dunson,,success
10.1093/biomet/asu027,Anthony Lee,,K. atuszy ski,Anthony Lee,success
10.1093/biomet/asu020,Andrew F. Magyar,,David E. Tyler,,success
10.1093/biomet/asu011,Jiancheng Jiang,,,Jiancheng Jiang,success
10.1093/biomet/asu014,Min Tsao,,Fan Wu,,success
10.1093/biomet/asu013,Micha Mandel,,Yosef Rinott,,success
10.1093/biomet/asu023,Shubin Zheng,D JIANG; Zhidong Bai,Xuming He,Shubin Zheng; D JIANG; Zhidong Bai; Xuming He,success
10.1093/biomet/asw068,Wei Luo,Yeying Zhu,Debashis Ghosh,,success
10.1093/biomet/asw065,Édouard Ollier,,Vivian Viallon,,success
10.1093/biomet/asw059,Yiyuan She,,,Yiyuan She,success
10.1093/biomet/asw066,Jinyuan Chang,Qiwei Yao,Wen Zhou,,success
10.1093/biomet/asw069,Tao Yu,Pengfei Li,Jing Qin,,success
10.1093/biomet/asx002,Helen Ogden,,,Helen Ogden,success
10.1093/biomet/asw062,Lorenzo Fattorini,Marzia Marcheselli; Caterina Pisani,Luca Pratelli,,success
10.1093/biomet/asw063,Mauricio Sadinle,,Jerome P. Reiter,,success
10.1093/biomet/asw058,J. K. Kim,,Shu Yang,,success
10.1093/biomet/asw064,Linbo Wang,James M. Robins,Thomas S. Richardson,,success
10.1093/biomet/asw061,Ruey S. Tsay,,Mohsen Pourahmadi,,success
10.1093/biomet/asx005,Juan‐Juan Cai,Valérie Chavez‐Demoulin,Armelle Guillou,,success
10.1093/biomet/asx017,Jinyuan Chang,Qiwei Yao,Wen Zhou,,success
10.1093/biomet/asx011,Linbo Wang,James M. Robins,Thomas S. Richardson,,success
10.1093/biomet/asw050,Kean Ming Tan,Yang Ning; Daniela Witten,Han Liu,,success
10.1093/biomet/asw042,,,,,not_found
10.1093/biomet/asw040,Aurore Delaigle,,P. Hall,Aurore Delaigle,success
10.1093/biomet/asw043,Lucia C. Petito,,Nicholas P. Jewell,Nicholas P. Jewell,success
10.1093/biomet/asw049,Florence H. Yong,Lü Tian; Sheng Yu; Tianxi Cai,Lee‐Jen Wei,,success
10.1093/biomet/asw047,Lei Liu,Michael G. Hudgens,Sylvia Becker‐Dreps,Lei Liu; Michael G. Hudgens,success
10.1093/biomet/asw038,Munir Hiabu,Enno Mammen; María Dolores Martínez‐Miranda,Jens Perch Nielsen,,success
10.1093/biomet/asw039,Fang Fang,,Jun Shao,,success
10.1093/biomet/asw051,Wei Luo,,Bing Li,,success
10.1093/biomet/asw046,Shaojun Guo,Yazhen Wang,Qiwei Yao,Shaojun Guo; Qiwei Yao,success
10.1093/biomet/asw045,,,,,not_found
10.1093/biomet/asw044,,,,,not_found
10.1093/biomet/asw041,,,,,not_found
10.1093/biomet/asw053,Jyotishka Datta,,David B. Dunson,Jyotishka Datta; David B. Dunson,success
10.1093/biomet/asw037,Agniva Som,Christopher M. Hans,Steven N. MacEachern,Agniva Som,success
10.1093/biomet/asw027,Ai Ni,Jianwen Cai,Donglin Zeng,Donglin Zeng,success
10.1093/biomet/asw035,Yuying Xie,Yufeng Liu,William Valdar,,success
10.1093/biomet/asw028,Kuang-Yao Lee,Bing Li,Hongyu Zhao,Kuang-Yao Lee,success
10.1093/biomet/asw032,Nathaniel Shiers,Piotr Zwiernik; John A. D. Aston,Jim Q. Smith,Nathaniel Shiers,success
10.1093/biomet/asw023,Luigi Augugliaro,Angelo M. Mineo,Ernst C. Wit,Luigi Augugliaro,success
10.1093/biomet/asw036,Zhihua Su,Guangyu Zhu; X. Chen,Yi Yang,,success
10.1093/biomet/asw034,Aaron J. Molstad,,Adam Rothman,,success
10.1093/biomet/asw029,Gongjun Xu,Lifeng Lin; Peng Wei,Wei Pan,,success
10.1093/biomet/asw022,D. A. S. Fraser,Nancy Reid,Nicola Sartori,,success
10.1093/biomet/asw021,Stephen M. S. Lee,,G. A. Young,,success
10.1093/biomet/asw030,Bala Rajaratnam,,Dario Vincenzi,,success
10.1093/biomet/asw025,Olli Saarela,Léo R. Belzile,David A. Stephens,Olli Saarela,success
10.1093/biomet/asw024,Peisong Han,,,Peisong Han,success
10.1093/biomet/asw020,,,,,not_found
10.1093/biomet/asw019,Christophe Andrieu,,,Christophe Andrieu,success
10.1093/biomet/asw026,David Oakes,,,David Oakes,success
10.1093/biomet/asw033,Efstathios Paparoditis,,Theofanis Sapatinas,Efstathios Paparoditis,success
10.1093/biomet/asw016,Wang Miao,,Eric J. Tchetgen Tchetgen,Wang Miao,success
10.1093/biomet/asw012,Peng Ding,,Tyler J. VanderWeele,Tyler J. VanderWeele,success
10.1093/biomet/asw005,Vinayak Rao,Lizhen Lin,David B. Dunson,,success
10.1093/biomet/asw013,Donglin Zeng,Lu Mao,D. Y. Lin,Donglin Zeng,success
10.1093/biomet/asw003,Yan Zhou,,Peter X.‐K. Song,Peter X.‐K. Song,success
10.1093/biomet/asw008,Clément Dombry,Sebastian Engelke,Marco Oesting,,success
10.1093/biomet/asw018,Samer A. Kharroubi,,Trevor J. Sweeting,,success
10.1093/biomet/asw010,Marco Singer,Tatyana Krivobokova; Axel Munk,Bert de Groot,,success
10.1093/biomet/asw006,Shu‐Ching Chang,,Dale L. Zimmerman,,success
10.1093/biomet/asw007,Jeng‐Min Chiou,,Hans‐Georg Müller,Jeng‐Min Chiou,success
10.1093/biomet/asw009,E. Olusegun George,Kyeongmi Cheon; Yilian Yuan,Anikó Szabó,,success
10.1093/biomet/asw002,Ting Fung,,Chun Yip Yau,Chun Yip Yau,success
10.1093/biomet/asw001,Grigory Alexandrovich,Hajo Holzmann,Anna Leister,Hajo Holzmann; Anna Leister,success
10.1093/biomet/asw015,Christian Hennig,,Cinzia Viroli,,success
10.1093/biomet/asw014,Melike Oguz Alper,,Yves G. Berger,Melike Oguz Alper; Yves G. Berger,success
10.1093/biomet/asw004,Jae Kwang Kim,Yongchan Kwon,Myunghee Cho Paik,Jae Kwang Kim,success
10.1093/biomet/asw017,Fabrizia Mealli,,Donald B. Rubin,,success
10.1093/biomet/asv066,Kelin Xu,Wensheng Guo; Momiao Xiong; Li Zhu,Jin Li,Momiao Xiong; Li Zhu; Jin Li,success
10.1093/biomet/asv057,Ross L. Prentice,,,Ross L. Prentice,success
10.1093/biomet/asv068,Bradley Efron,,,Bradley Efron,success
10.1093/biomet/asv067,Lee H. Dicker,,Sihai Dave Zhao,Lee H. Dicker,success
10.1093/biomet/asv060,Tsuyoshi Kunihama,,David B. Dunson,,success
10.1093/biomet/asv064,Daniel Simpson,Janine Illian; Finn Lindgren; Sigrunn H. Sørbye,Håvard Rue,,success
10.1093/biomet/asv069,Bree Ettinger,Simona Perotto,Laura M. Sangalli,Bree Ettinger; Simona Perotto,success
10.1093/biomet/asv072,Carlo Berzuini,,A. P. Dawid,Carlo Berzuini,success
10.1093/biomet/asv054,Alexander Petersen,,Hans‐Georg Müller,,success
10.1093/biomet/asv070,Katsiaryna Schwarz,,Tatyana Krivobokova,,success
10.1093/biomet/asv061,Wenceslao González‐Manteiga,María Dolores Martínez‐Miranda,Ingrid Van Keilegom,,success
10.1093/biomet/asv062,Dehan Kong,Kaijie Xue; Fang Yao,Hao Helen Zhang,,success
10.1093/biomet/asv055,Shengchun Kong,,Bin Nan,,success
10.1093/biomet/asv071,Jun Shao,,Lei Wang,Lei Wang,success
10.1093/biomet/asv052,Simon A. Broda,,Raymond Kan,,success
10.1093/biomet/asv056,Nicola Lunardon,,,Nicola Lunardon,success
10.1093/biomet/asv073,Shu Yang,,J. K. Kim,Shu Yang,success
10.1093/biomet/asv047,Hongtu Zhu,Joseph G. Ibrahim,Ming‐Hui Chen,,success
10.1093/biomet/asv041,Holger Dette,Katrin Kettelhake,Frank Bretz,,success
10.1093/biomet/asv050,Edgar Dobriban,Kristen Fortney; Stuart K. Kim,Art B. Owen,,success
10.1093/biomet/asv034,Jesse Y. Hsu,José R. Zubizarreta; Dylan S. Small,Paul R. Rosenbaum,Jesse Y. Hsu,success
10.1093/biomet/asv046,Vonn Walter,Fred A. Wright,Andrew B. Nobel,Fred A. Wright; Andrew B. Nobel,success
10.1093/biomet/asv043,Xin Lu,,Brent A. Johnson,,success
10.1093/biomet/asv051,Alexandros Beskos,Joseph Dureau,Κωνσταντίνος Καλογερόπουλος,Joseph Dureau; Κωνσταντίνος Καλογερόπουλος,success
10.1093/biomet/asv032,Eric F. Lock,,David B. Dunson,,success
10.1093/biomet/asv036,Takeru Matsuda,,Fumiyasu Komaki,,success
10.1093/biomet/asv045,Emeric Thibaud,,Thomas Opitz,,success
10.1093/biomet/asv049,Aurore Delaigle,,P. Hall,Aurore Delaigle; P. Hall,success
10.1093/biomet/asv037,Jonathan W. Stallings,,John P. Morgan,John P. Morgan,success
10.1093/biomet/asx085,Xia Yin,Tommaso Cai,Hongzhe Li,Tommaso Cai,success
